n,time_s,adc_low,adc_high,adc_low_norm,adc_high_norm
549,0.00549,66,32,0.2578125,0.125
550,0.0055,76,50,0.296875,0.1953125
551,0.00551,57,57,0.22265625,0.22265625
552,0.00552,23,49,0.08984375,0.19140625
553,0.00553,0,34,0,0.1328125
554,0.00554,5,21,0.01953125,0.08203125
555,0.00555,35,22,0.13671875,0.0859375
556,0.00556,66,34,0.2578125,0.1328125
557,0.00557,77,50,0.30078125,0.1953125
558,0.00558,57,57,0.22265625,0.22265625
559,0.00559,23,49,0.08984375,0.19140625
560,0.0056,0,34,0,0.1328125
561,0.00561,6,22,0.0234375,0.0859375
562,0.00562,36,22,0.140625,0.0859375
563,0.00563,68,35,0.265625,0.13671875
564,0.00564,75,49,0.29296875,0.19140625
565,0.00565,56,57,0.21875,0.22265625
566,0.00566,22,49,0.0859375,0.19140625
567,0.00567,0,33,0,0.12890625
568,0.00568,8,21,0.03125,0.08203125
569,0.00569,40,23,0.15625,0.08984375
570,0.0057,71,37,0.27734375,0.14453125
571,0.00571,76,52,0.296875,0.203125
572,0.00572,51,56,0.19921875,0.21875
573,0.00573,16,46,0.0625,0.1796875
574,0.00574,0,30,0,0.1171875
575,0.00575,13,21,0.05078125,0.08203125
576,0.00576,47,25,0.18359375,0.09765625
577,0.00577,74,40,0.2890625,0.15625
578,0.00578,73,53,0.28515625,0.20703125
579,0.00579,42,53,0.1640625,0.20703125
580,0.0058,10,43,0.0390625,0.16796875
581,0.00581,0,27,0,0.10546875
582,0.00582,20,20,0.078125,0.078125
583,0.00583,56,29,0.21875,0.11328125
584,0.00584,77,44,0.30078125,0.171875
585,0.00585,66,55,0.2578125,0.21484375
586,0.00586,32,52,0.125,0.203125
587,0.00587,3,38,0.01171875,0.1484375
588,0.00588,2,22,0.0078125,0.0859375
589,0.00589,29,18,0.11328125,0.0703125
590,0.0059,66,33,0.2578125,0.12890625
591,0.00591,77,49,0.30078125,0.19140625
592,0.00592,56,56,0.21875,0.21875
593,0.00593,19,47,0.07421875,0.18359375
