k,freq_hz,mag_db
774,37792.9688,-14.2005205
775,37841.7969,-13.692091
776,37890.625,-13.536705
777,37939.4531,-13.7044468
778,37988.2812,-14.0335369
779,38037.1094,-14.2764912
780,38085.9375,-14.3760309
781,38134.7656,-14.1437626
782,38183.5938,-13.9708977
783,38232.4219,-14.0394535
784,38281.25,-14.1525555
785,38330.0781,-14.1341877
786,38378.9062,-14.244072
787,38427.7344,-14.1994438
788,38476.5625,-14.3841257
789,38525.3906,-14.1900768
790,38574.2188,-14.2253971
791,38623.0469,-13.9654179
792,38671.875,-13.9943781
793,38720.7031,-13.9845381
794,38769.5312,-15.0998096
795,38818.3594,-14.569622
796,38867.1875,-13.9961987
797,38916.0156,-14.2953072
798,38964.8438,-14.6522951
799,39013.6719,-14.0783777
800,39062.5,-13.9670105
801,39111.3281,-13.990448
802,39160.1562,-14.5290298
803,39208.9844,-14.520443
804,39257.8125,-14.5319128
805,39306.6406,-14.1216574
806,39355.4688,-14.7595072
807,39404.2969,-14.637948
808,39453.125,-15.0001631
809,39501.9531,-14.5748043
810,39550.7812,-14.0064907
811,39599.6094,-14.4408655
812,39648.4375,-14.9190922
813,39697.2656,-14.806551
814,39746.0938,-14.0338697
815,39794.9219,-13.8775558
816,39843.75,-14.6861172
817,39892.5781,-14.3797693
818,39941.4062,-14.3891258
819,39990.2344,-14.4396257
820,40039.0625,-14.7873039
821,40087.8906,-14.6766567
822,40136.7188,-14.7539806
823,40185.5469,-14.4389191
824,40234.375,-14.5080776
825,40283.2031,-14.5825443
826,40332.0312,-14.6569748
827,40380.8594,-14.6804276
828,40429.6875,-14.545805
829,40478.5156,-14.4315453
830,40527.3438,-14.4266071
831,40576.1719,-14.4420576
832,40625,-14.5953159
833,40673.8281,-14.6715641
834,40722.6562,-14.5902157
835,40771.4844,-14.52668
836,40820.3125,-14.349823
837,40869.1406,-14.5897274
838,40917.9688,-14.5998278
839,40966.7969,-14.1798677
840,41015.625,-14.2733774
841,41064.4531,-14.5018015
842,41113.2812,-14.4571228
843,41162.1094,-14.3808632
844,41210.9375,-14.8958168
845,41259.7656,-15.0950222
846,41308.5938,-14.6296654
847,41357.4219,-15.0210428
848,41406.25,-14.6961794
849,41455.0781,-14.8222246
850,41503.9062,-14.3829136
851,41552.7344,-14.4581947
852,41601.5625,-14.9706192
853,41650.3906,-14.7828712
854,41699.2188,-14.4646397
855,41748.0469,-14.3817129
856,41796.875,-14.8943157
857,41845.7031,-14.8782015
858,41894.5312,-14.8145676
859,41943.3594,-14.8481998
860,41992.1875,-14.562726
861,42041.0156,-15.0649738
862,42089.8438,-15.1584959
863,42138.6719,-15.0745487
864,42187.5,-15.2406464
865,42236.3281,-15.2012043
866,42285.1562,-15.1189022
867,42333.9844,-15.5906715
868,42382.8125,-14.5016651
869,42431.6406,-14.6363564
870,42480.4688,-14.5876455
871,42529.2969,-14.9977036
872,42578.125,-15.1371622
873,42626.9531,-14.982832
874,42675.7812,-14.8463583
875,42724.6094,-14.8467169
876,42773.4375,-14.7345362
877,42822.2656,-15.1775942
878,42871.0938,-15.0340271
879,42919.9219,-15.0737133
880,42968.75,-14.9625406
881,43017.5781,-14.819685
882,43066.4062,-15.4906044
883,43115.2344,-15.2180862
884,43164.0625,-15.3583794
885,43212.8906,-14.8904018
886,43261.7188,-15.208497
887,43310.5469,-15.0159559
888,43359.375,-15.3875113
889,43408.2031,-15.4579344
890,43457.0312,-14.6680784
891,43505.8594,-14.7560358
892,43554.6875,-15.4309454
893,43603.5156,-15.2778797
894,43652.3438,-15.6568203
895,43701.1719,-15.2831068
896,43750,-14.9450665
897,43798.8281,-15.3388271
898,43847.6562,-15.7813129
899,43896.4844,-14.9380322
900,43945.3125,-15.2201185
901,43994.1406,-15.3092995
902,44042.9688,-14.9206715
903,44091.7969,-15.5350399
904,44140.625,-15.2721491
905,44189.4531,-14.9009943
906,44238.2812,-15.1224995
907,44287.1094,-15.2013292
908,44335.9375,-15.1287842
909,44384.7656,-15.4927816
910,44433.5938,-15.500248
911,44482.4219,-15.1885395
912,44531.25,-15.5267706
913,44580.0781,-15.3828888
914,44628.9062,-15.3268299
915,44677.7344,-15.4376221
916,44726.5625,-15.7272873
917,44775.3906,-15.5411434
918,44824.2188,-14.8656197
919,44873.0469,-15.1348505
920,44921.875,-15.2721977
921,44970.7031,-15.540205
922,45019.5312,-15.1134214
923,45068.3594,-15.4968204
924,45117.1875,-15.6072226
925,45166.0156,-15.487587
926,45214.8438,-15.2865391
927,45263.6719,-15.2272911
928,45312.5,-15.3537998
929,45361.3281,-15.686615
930,45410.1562,-15.4824638
931,45458.9844,-16.3298645
932,45507.8125,-15.4219303
933,45556.6406,-15.9780741
934,45605.4688,-15.4766006
935,45654.2969,-15.6393833
936,45703.125,-15.6170864
937,45751.9531,-16.0707703
938,45800.7812,-15.6079693
939,45849.6094,-15.6370068
940,45898.4375,-15.6396208
941,45947.2656,-16.1401215
942,45996.0938,-15.8183136
943,46044.9219,-15.8863306
944,46093.75,-15.3281918
945,46142.5781,-15.4277086
946,46191.4062,-15.7591629
947,46240.2344,-15.9376192
948,46289.0625,-15.8524303
949,46337.8906,-15.4322796
950,46386.7188,-16.0142212
951,46435.5469,-15.8242779
952,46484.375,-15.9352674
953,46533.2031,-15.1195822
954,46582.0312,-15.5525055
955,46630.8594,-15.5030203
956,46679.6875,-15.6233006
957,46728.5156,-15.7024593
958,46777.3438,-15.5230217
959,46826.1719,-15.8930922
960,46875,-15.6787481
961,46923.8281,-16.2246056
962,46972.6562,-16.1295929
