freq_hz,mag_db
1.226816992187500000e+04,-4.997817039489746094e+00
1.227781933593750000e+04,-5.020285129547119141e+00
1.228747656250000000e+04,-5.027542114257812500e+00
1.229714160156250000e+04,-5.023298740386962891e+00
1.230681347656250000e+04,-5.020145893096923828e+00
1.231649316406250000e+04,-5.043472766876220703e+00
1.232618066406250000e+04,-5.054711341857910156e+00
1.233587597656250000e+04,-5.033719539642333984e+00
1.234557910156250000e+04,-5.060221672058105469e+00
1.235528906250000000e+04,-5.051708221435546875e+00
1.236500781250000000e+04,-5.059000968933105469e+00
1.237473339843750000e+04,-5.061094284057617188e+00
1.238446679687500000e+04,-5.064217567443847656e+00
1.239420800781250000e+04,-5.060304641723632812e+00
1.240395605468750000e+04,-5.059662342071533203e+00
1.241371289062500000e+04,-5.079052925109863281e+00
1.242347656250000000e+04,-5.078444480895996094e+00
