k,freq_hz,coherence
732,35742.1875,0.971178889
733,35791.0156,0.969174385
734,35839.8438,0.987412393
735,35888.6719,0.974128008
736,35937.5,0.971075118
737,35986.3281,0.981855452
738,36035.1562,0.975282967
739,36083.9844,0.963143349
740,36132.8125,0.97982657
741,36181.6406,0.967393637
742,36230.4688,0.965716422
743,36279.2969,0.963105381
744,36328.125,0.969207704
745,36376.9531,0.980517328
746,36425.7812,0.97598654
747,36474.6094,0.969752192
748,36523.4375,0.978341877
749,36572.2656,0.976100981
750,36621.0938,0.981111646
751,36669.9219,0.974789023
752,36718.75,0.981142223
753,36767.5781,0.981057882
754,36816.4062,0.977782428
755,36865.2344,0.969419837
756,36914.0625,0.976872444
757,36962.8906,0.973840892
758,37011.7188,0.971030354
759,37060.5469,0.972636759
760,37109.375,0.964084446
761,37158.2031,0.980098903
762,37207.0312,0.965021551
763,37255.8594,0.968986273
764,37304.6875,0.978199899
765,37353.5156,0.967080891
766,37402.3438,0.97274822
767,37451.1719,0.970859885
768,37500,0.985161126
769,37548.8281,0.964491844
770,37597.6562,0.971631885
771,37646.4844,0.972376466
772,37695.3125,0.978142917
773,37744.1406,0.975033939
774,37792.9688,0.967616796
775,37841.7969,0.972104967
776,37890.625,0.958971262
777,37939.4531,0.969510198
778,37988.2812,0.974437237
779,38037.1094,0.972375154
780,38085.9375,0.962292612
781,38134.7656,0.964865088
782,38183.5938,0.976393402
783,38232.4219,0.958588004
784,38281.25,0.972536445
785,38330.0781,0.980197072
786,38378.9062,0.980262816
787,38427.7344,0.970561087
788,38476.5625,0.965075076
789,38525.3906,0.966805458
790,38574.2188,0.973553658
791,38623.0469,0.97193706
792,38671.875,0.964295805
793,38720.7031,0.961117268
794,38769.5312,0.962986529
795,38818.3594,0.952135444
796,38867.1875,0.957652211
797,38916.0156,0.983230472
798,38964.8438,0.957026064
799,39013.6719,0.977429271
800,39062.5,0.959411025
801,39111.3281,0.972740531
802,39160.1562,0.982937157
803,39208.9844,0.970954895
804,39257.8125,0.986955822
805,39306.6406,0.962371349
806,39355.4688,0.962355018
807,39404.2969,0.983509123
808,39453.125,0.967319548
809,39501.9531,0.980633914
810,39550.7812,0.968904912
811,39599.6094,0.954648376
812,39648.4375,0.969241679
813,39697.2656,0.966707826
814,39746.0938,0.959003627
815,39794.9219,0.965315878
816,39843.75,0.956149518
817,39892.5781,0.969074547
818,39941.4062,0.958429396
819,39990.2344,0.959013224
820,40039.0625,0.964778423
821,40087.8906,0.962919891
822,40136.7188,0.967342675
823,40185.5469,0.97487998
824,40234.375,0.973395646
825,40283.2031,0.974424362
826,40332.0312,0.973456204
827,40380.8594,0.96797961
828,40429.6875,0.96942997
829,40478.5156,0.968200564
830,40527.3438,0.967687488
831,40576.1719,0.958826065
832,40625,0.96953088
833,40673.8281,0.973624945
834,40722.6562,0.964093029
835,40771.4844,0.96612078
836,40820.3125,0.966875672
837,40869.1406,0.962000608
838,40917.9688,0.973009408
839,40966.7969,0.976599574
840,41015.625,0.974193037
841,41064.4531,0.96667707
842,41113.2812,0.964025319
843,41162.1094,0.964269876
844,41210.9375,0.981340528
845,41259.7656,0.973707557
846,41308.5938,0.943587482
847,41357.4219,0.936220586
848,41406.25,0.971632421
849,41455.0781,0.971664786
850,41503.9062,0.971392512
851,41552.7344,0.968006492
852,41601.5625,0.972715437
853,41650.3906,0.956718564
854,41699.2188,0.959768713
855,41748.0469,0.962287486
856,41796.875,0.952472568
857,41845.7031,0.962864459
858,41894.5312,0.97257936
859,41943.3594,0.958458364
860,41992.1875,0.967423141
861,42041.0156,0.967885315
862,42089.8438,0.957473576
863,42138.6719,0.961836278
864,42187.5,0.96633786
865,42236.3281,0.961498141
866,42285.1562,0.97280848
867,42333.9844,0.951910853
868,42382.8125,0.961159348
869,42431.6406,0.967521787
870,42480.4688,0.970771015
871,42529.2969,0.955524743
872,42578.125,0.966465473
873,42626.9531,0.962430596
874,42675.7812,0.970095456
875,42724.6094,0.961715579
876,42773.4375,0.976082981
877,42822.2656,0.964050531
878,42871.0938,0.971385717
879,42919.9219,0.964258194
880,42968.75,0.969096243
881,43017.5781,0.959725678
882,43066.4062,0.97636801
883,43115.2344,0.958732724
884,43164.0625,0.946130514
885,43212.8906,0.956472337
886,43261.7188,0.972517192
887,43310.5469,0.962959766
888,43359.375,0.952315032
889,43408.2031,0.959915161
890,43457.0312,0.947423637
891,43505.8594,0.959331214
892,43554.6875,0.950543046
893,43603.5156,0.957539618
894,43652.3438,0.966265202
895,43701.1719,0.941593111
896,43750,0.968883872
897,43798.8281,0.956907332
898,43847.6562,0.934657812
899,43896.4844,0.954198539
900,43945.3125,0.960327208
901,43994.1406,0.963741779
902,44042.9688,0.96456033
903,44091.7969,0.944199741
904,44140.625,0.958921254
905,44189.4531,0.968043923
906,44238.2812,0.952705801
907,44287.1094,0.935091615
908,44335.9375,0.972000301
909,44384.7656,0.935743988
910,44433.5938,0.951350212
911,44482.4219,0.976342261
912,44531.25,0.960060239
913,44580.0781,0.95759964
914,44628.9062,0.940321743
915,44677.7344,0.929638326
916,44726.5625,0.957224429
917,44775.3906,0.97080797
918,44824.2188,0.978842318
919,44873.0469,0.971062958
920,44921.875,0.970208466
921,44970.7031,0.967173219
922,45019.5312,0.969800949
923,45068.3594,0.962229908
924,45117.1875,0.949399889
925,45166.0156,0.937648952
926,45214.8438,0.952653825
927,45263.6719,0.961659074
928,45312.5,0.947169065
929,45361.3281,0.962779999
930,45410.1562,0.937918365
931,45458.9844,0.951682091
932,45507.8125,0.944835067
933,45556.6406,0.965702474
934,45605.4688,0.947283447
935,45654.2969,0.957258403
936,45703.125,0.934850097
937,45751.9531,0.932821512
938,45800.7812,0.967283487
939,45849.6094,0.947554052
940,45898.4375,0.948585391
941,45947.2656,0.929602742
942,45996.0938,0.960778415
943,46044.9219,0.959145188
944,46093.75,0.952277064
945,46142.5781,0.940140486
946,46191.4062,0.949229419
947,46240.2344,0.92280215
948,46289.0625,0.949574947
949,46337.8906,0.940963209
950,46386.7188,0.952845395
951,46435.5469,0.917844057
952,46484.375,0.949553132
953,46533.2031,0.948499024
954,46582.0312,0.947778463
955,46630.8594,0.961601436
956,46679.6875,0.955612719
957,46728.5156,0.952589631
958,46777.3438,0.955242276
959,46826.1719,0.948593736
960,46875,0.937210619
961,46923.8281,0.915321946
962,46972.6562,0.890892863
963,47021.4844,0.925357521
964,47070.3125,0.927470922
965,47119.1406,0.924654126
966,47167.9688,0.956571698
967,47216.7969,0.94064033
968,47265.625,0.944896281
969,47314.4531,0.965826094
970,47363.2812,0.944890916
971,47412.1094,0.948857725
972,47460.9375,0.941946924
973,47509.7656,0.940644503
974,47558.5938,0.959986567
975,47607.4219,0.922864914
